"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","Easy Run + Allunghi","","","2022-05-30","","10089.0498046875","","","","","1.00154089927673","2.79800009727478","","79","","153","180","","","0.7914367028418","69.49","44","12","3","1","0","0","0","","","","","","","","","","","","","","1","5"
"Running","Run","Lento","","","2022-05-31","","9563.91015625","","","","","0.888997554779053","2.98799991607666","","84","","154","179","","","0.819014143510915","65.86","21","24","6","2","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","8x1000 Tema lento 4:10 veloce 4","","","2022-06-01","","16083.6103515625","","",""," *04/07/2022 Giulio Debarbieri: Stabile, avrei fatto qualcosa in più.*","1.39430105686188","3.2039999961853","","76","","172","199","","","0.888815230818212","123.03","17","9","9","17","12","18","3","","","","","","","","","","","","","","4","5"
"Running","Run","Lento","","","2022-06-03","","11149.6201171875","","",""," *04/07/2022 Giulio Debarbieri: Un pochetto umidiccio*","1.09226965904236","2.83500003814697","","78","","157","175","","","0.80152588089112","77.9","24","28","13","0","0","0","0","","","","","","","","","","","","","","2","5"
"Yoga","Other","","","","2022-06-03","","0","","","","","0.502059757709503","0","","","","69","102","","","0.524168825348873","15.02","30","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","Novano - Hill rep. - 6x1' rec 3'","","","2022-06-04","","10739.849609375","","",""," *04/07/2022 Giulio Debarbieri: La prossima volta ci arrivo da sopra.*","1.16642940044403","2.55800008773804","","72","","151","183","","","0.763374471997334","75.6","46","16","6","2","0","0","0","","","","","","","","","","","","","","5","3"
"Open Water Swimming","Swim","","","","2022-06-04","","1112.76000976563","","","","","0.502037465572357","0.61599999666214","","24","","","","","","0.554121995903733","8.54","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","Lento","","","2022-06-05","","10578.990234375","","","","","0.993590831756592","2.95799994468689","","82","","154","175","","","0.809706021759721","72.15","32","23","4","0","0","0","0","","","","","","","","","","","","","","2","3"
"Running","Run","Lento","","","2022-06-06","","11043.08984375","","",""," *04/07/2022 Giulio Debarbieri: Umido ma molto bene*","1.04429662227631","2.93700003623962","","81","","157","182","","","0.787800313617624","71.87","21","34","4","4","0","0","0","","","","","","","","","","","","","","2","5"
"Strength","Strength","Circuito M.","","","2022-06-07","","0","","","","","0.571374714374542","0","","","","101","138","","","0.571549934621669","20.39","34","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","Lento","","","2022-06-07","","10020.2802734375","","",""," *04/07/2022 Giulio Debarbieri: Just do it.Sudato molto oggi.*","0.947901427745819","2.93600010871887","","80","","160","179","","","0.77910616060917","63.65","13","31","11","2","0","0","0","","","","","","","","","","","","","","3","7"
"Yoga","Other","","","","2022-06-07","","0","","","","","0.505116701126099","0","","","","82","107","","","0.530394926194832","15.48","30","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Strength","Strength","Circuito M.","","","2022-06-08","","0","","","","","0.721760869026184","0","","","","110","164","","","0.58173658633145","26.83","42","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","Lento svelto","","","2022-06-08","","10026.33984375","","","","","0.914918899536133","3.04399991035461","","83","","159","175","","","0.801573151453673","64.98","12","30","13","0","0","0","0","","","","","","","","","","","","","","2","5"
